,DOM,TSCounter,time,tot
195,18.0,1623055016.0,16515625.0,25.0
196,1.0,1623055017.0,33236098.0,26.0
197,2.0,1623055017.0,33236102.0,25.0
198,4.0,1623055017.0,33236096.0,25.0
199,5.0,1623055017.0,33236093.0,26.0
200,6.0,1623055017.0,33236103.0,25.0
201,7.0,1623055017.0,33236100.0,25.0
202,8.0,1623055017.0,33236097.0,25.0
203,9.0,1623055017.0,33236094.0,25.0
204,10.0,1623055017.0,33236099.0,25.0
205,11.0,1623055017.0,33236097.0,25.0
206,12.0,1623055017.0,33236094.0,25.0
207,14.0,1623055017.0,33236095.0,24.0
208,16.0,1623055017.0,33236098.0,25.0
209,17.0,1623055017.0,33236095.0,25.0
210,18.0,1623055017.0,33236094.0,25.0
211,1.0,1623055018.0,49956709.0,25.0
212,2.0,1623055018.0,49956713.0,25.0
213,4.0,1623055018.0,49956707.0,25.0
214,5.0,1623055018.0,49956704.0,25.0
215,6.0,1623055018.0,49956714.0,25.0
216,7.0,1623055018.0,49956711.0,25.0
217,8.0,1623055018.0,49956708.0,25.0
218,9.0,1623055018.0,49956705.0,25.0
219,10.0,1623055018.0,49956710.0,25.0
220,11.0,1623055018.0,49956708.0,25.0
221,12.0,1623055018.0,49956705.0,25.0
222,14.0,1623055018.0,49956705.0,25.0
223,16.0,1623055018.0,49956709.0,25.0
224,17.0,1623055018.0,49956706.0,25.0
225,18.0,1623055018.0,49956705.0,25.0
226,1.0,1623055019.0,66676430.0,25.0
227,2.0,1623055019.0,66676434.0,25.0
228,4.0,1623055019.0,66676428.0,25.0
229,5.0,1623055019.0,66676425.0,25.0
230,6.0,1623055019.0,66676435.0,25.0
231,7.0,1623055019.0,66676432.0,25.0
232,8.0,1623055019.0,66676429.0,25.0
233,9.0,1623055019.0,66676426.0,25.0
234,10.0,1623055019.0,66676431.0,25.0
235,11.0,1623055019.0,66676429.0,25.0
236,12.0,1623055019.0,66676426.0,25.0
237,14.0,1623055019.0,66676426.0,25.0
238,16.0,1623055019.0,66676430.0,25.0
239,17.0,1623055019.0,66676427.0,25.0
240,18.0,1623055019.0,66676426.0,25.0
241,1.0,1623055020.0,83396331.0,25.0
242,2.0,1623055020.0,83396334.0,25.0
243,4.0,1623055020.0,83396328.0,26.0
244,5.0,1623055020.0,83396326.0,25.0
245,6.0,1623055020.0,83396335.0,25.0
246,7.0,1623055020.0,83396333.0,25.0
247,8.0,1623055020.0,83396330.0,25.0
248,9.0,1623055020.0,83396327.0,25.0
249,10.0,1623055020.0,83396332.0,25.0
250,11.0,1623055020.0,83396329.0,25.0
251,12.0,1623055020.0,83396327.0,25.0
252,14.0,1623055020.0,83396327.0,25.0
253,16.0,1623055020.0,83396330.0,25.0
254,17.0,1623055020.0,83396327.0,25.0
255,18.0,1623055020.0,83396326.0,25.0
256,1.0,1623055021.1,116658.0,25.0
257,2.0,1623055021.1,116661.0,25.0
258,4.0,1623055021.1,116656.0,25.0
259,5.0,1623055021.1,116653.0,25.0
260,6.0,1623055021.1,116662.0,25.0
261,7.0,1623055021.1,116660.0,25.0
262,8.0,1623055021.1,116657.0,25.0
263,9.0,1623055021.1,116654.0,25.0
264,10.0,1623055021.1,116659.0,25.0
265,11.0,1623055021.1,116657.0,25.0
266,12.0,1623055021.1,116654.0,25.0
267,14.0,1623055021.1,116654.0,25.0
268,16.0,1623055021.1,116658.0,25.0
269,17.0,1623055021.1,116655.0,24.0
270,18.0,1623055021.1,116654.0,25.0
271,1.0,1623055022.1,16837567.0,25.0
272,2.0,1623055022.1,16837571.0,25.0
273,4.0,1623055022.1,16837565.0,25.0
274,5.0,1623055022.1,16837562.0,26.0
275,6.0,1623055022.1,16837572.0,25.0
276,7.0,1623055022.1,16837569.0,25.0
277,8.0,1623055022.1,16837566.0,25.0
278,9.0,1623055022.1,16837563.0,25.0
279,10.0,1623055022.1,16837568.0,25.0
280,11.0,1623055022.1,16837566.0,25.0
281,12.0,1623055022.1,16837563.0,25.0
282,14.0,1623055022.1,16837563.0,25.0
283,16.0,1623055022.1,16837567.0,25.0
284,17.0,1623055022.1,16837564.0,25.0
285,18.0,1623055022.1,16837563.0,25.0
286,1.0,1623055023.1,33558223.0,25.0
287,2.0,1623055023.1,33558226.0,25.0
288,4.0,1623055023.1,33558220.0,25.0
289,5.0,1623055023.1,33558218.0,25.0
290,6.0,1623055023.1,33558227.0,25.0
291,7.0,1623055023.1,33558224.0,25.0
292,8.0,1623055023.1,33558222.0,25.0
293,9.0,1623055023.1,33558219.0,25.0
294,10.0,1623055023.1,33558224.0,25.0
295,11.0,1623055023.1,33558221.0,25.0
296,12.0,1623055023.1,33558218.0,26.0
297,14.0,1623055023.1,33558219.0,25.0
298,16.0,1623055023.1,33558222.0,25.0
299,17.0,1623055023.1,33558219.0,25.0
300,18.0,1623055023.1,33558218.0,25.0
301,1.0,1623055024.1,50278835.0,25.0
302,2.0,1623055024.1,50278838.0,25.0
303,4.0,1623055024.1,50278833.0,25.0
304,5.0,1623055024.1,50278830.0,25.0
305,6.0,1623055024.1,50278839.0,25.0
306,7.0,1623055024.1,50278837.0,25.0
307,8.0,1623055024.1,50278834.0,25.0
308,9.0,1623055024.1,50278831.0,25.0
309,10.0,1623055024.1,50278836.0,25.0
310,11.0,1623055024.1,50278834.0,25.0
311,12.0,1623055024.1,50278831.0,25.0
312,14.0,1623055024.1,50278831.0,25.0
313,16.0,1623055024.1,50278835.0,25.0
314,17.0,1623055024.1,50278832.0,25.0
315,18.0,1623055024.1,50278831.0,25.0
316,1.0,1623055025.1,66998815.0,25.0
317,2.0,1623055025.1,66998818.0,25.0
318,4.0,1623055025.1,66998812.0,25.0
319,5.0,1623055025.1,66998810.0,25.0
320,6.0,1623055025.1,66998819.0,25.0
321,7.0,1623055025.1,66998816.0,25.0
322,8.0,1623055025.1,66998813.0,26.0
323,9.0,1623055025.1,66998811.0,24.0
324,10.0,1623055025.1,66998815.0,25.0
325,11.0,1623055025.1,66998813.0,25.0
326,12.0,1623055025.1,66998810.0,25.0
327,14.0,1623055025.1,66998811.0,24.0
328,16.0,1623055025.1,66998814.0,25.0
329,17.0,1623055025.1,66998811.0,25.0
330,18.0,1623055025.1,66998810.0,25.0
331,1.0,1623055026.1,83719313.0,25.0
332,2.0,1623055026.1,83719316.0,25.0
333,4.0,1623055026.1,83719310.0,25.0
334,5.0,1623055026.1,83719308.0,25.0
335,6.0,1623055026.1,83719317.0,25.0
336,7.0,1623055026.1,83719315.0,25.0
337,8.0,1623055026.1,83719312.0,25.0
338,9.0,1623055026.1,83719309.0,25.0
339,10.0,1623055026.1,83719314.0,25.0
340,11.0,1623055026.1,83719311.0,25.0
341,12.0,1623055026.1,83719309.0,25.0
342,14.0,1623055026.1,83719309.0,25.0
343,16.0,1623055026.1,83719312.0,26.0
344,17.0,1623055026.1,83719309.0,25.0
345,18.0,1623055026.1,83719308.0,25.0
346,1.0,1623055027.2,438824.0,25.0
347,2.0,1623055027.2,438827.0,25.0
348,4.0,1623055027.2,438821.0,25.0
349,5.0,1623055027.2,438819.0,25.0
350,6.0,1623055027.2,438828.0,25.0
351,7.0,1623055027.2,438825.0,25.0
352,8.0,1623055027.2,438823.0,25.0
353,9.0,1623055027.2,438820.0,25.0
354,10.0,1623055027.2,438825.0,25.0
355,11.0,1623055027.2,438822.0,25.0
356,12.0,1623055027.2,438820.0,25.0
357,14.0,1623055027.2,438820.0,25.0
358,16.0,1623055027.2,438823.0,25.0
359,17.0,1623055027.2,438820.0,25.0
360,18.0,1623055027.2,438819.0,25.0
361,1.0,1623055028.2,17158749.0,25.0
362,2.0,1623055028.2,17158752.0,25.0
363,4.0,1623055028.2,17158747.0,25.0
364,5.0,1623055028.2,17158744.0,25.0
365,6.0,1623055028.2,17158753.0,25.0
366,7.0,1623055028.2,17158751.0,25.0
367,8.0,1623055028.2,17158748.0,25.0
368,9.0,1623055028.2,17158745.0,25.0
369,10.0,1623055028.2,17158750.0,25.0
370,11.0,1623055028.2,17158748.0,25.0
371,12.0,1623055028.2,17158745.0,25.0
372,14.0,1623055028.2,17158745.0,25.0
373,16.0,1623055028.2,17158749.0,25.0
374,17.0,1623055028.2,17158745.0,26.0
375,18.0,1623055028.2,17158745.0,25.0
376,1.0,1623055029.2,33878345.0,25.0
377,2.0,1623055029.2,33878348.0,25.0
378,4.0,1623055029.2,33878342.0,25.0
379,5.0,1623055029.2,33878340.0,25.0
380,6.0,1623055029.2,33878349.0,25.0
381,7.0,1623055029.2,33878346.0,25.0
382,8.0,1623055029.2,33878344.0,25.0
383,9.0,1623055029.2,33878341.0,25.0
384,10.0,1623055029.2,33878345.0,26.0
385,11.0,1623055029.2,33878343.0,25.0
386,12.0,1623055029.2,33878340.0,25.0
387,14.0,1623055029.2,33878341.0,25.0
388,16.0,1623055029.2,33878344.0,25.0
389,17.0,1623055029.2,33878341.0,25.0
390,18.0,1623055029.2,33878340.0,25.0
391,1.0,1623055030.2,50598859.0,25.0
392,2.0,1623055030.2,50598862.0,25.0
393,4.0,1623055030.2,50598857.0,25.0
394,5.0,1623055030.2,50598854.0,25.0
395,6.0,1623055030.2,50598863.0,25.0
396,7.0,1623055030.2,50598861.0,25.0
397,8.0,1623055030.2,50598858.0,25.0
398,9.0,1623055030.2,50598855.0,25.0
399,10.0,1623055030.2,50598860.0,25.0
400,11.0,1623055030.2,50598858.0,25.0
401,12.0,1623055030.2,50598855.0,25.0
402,14.0,1623055030.2,50598855.0,25.0
