,DOM,time
721,1,63311345
722,2,63311348
723,6,63311349
724,11,63311340
725,12,63311350
726,13,63311341
727,14,63311344
728,16,63311348
729,18,63311344
730,1,80031774
731,2,80031777
732,6,80031778
733,11,80031769
734,12,80031779
735,13,80031770
736,14,80031773
737,16,80031777
738,18,80031773
739,1,96752563
740,2,96752566
741,6,96752567
742,11,96752558
743,12,96752568
744,13,96752559
745,14,96752562
746,16,96752566
747,18,96752561
748,1,13473119
749,2,13473122
750,6,13473123
751,11,13473114
752,12,13473124
753,13,13473115
754,14,13473118
755,16,13473122
756,18,13473118
757,1,30194117
758,2,30194120
759,6,30194121
760,11,30194112
761,12,30194121
762,13,30194113
763,14,30194116
764,16,30194119
765,18,30194115
766,1,46914842
767,2,46914845
768,6,46914846
769,11,46914837
770,12,46914847
771,13,46914838
772,14,46914841
773,16,46914845
774,18,46914841
775,1,63635707
776,2,63635710
777,6,63635711
778,11,63635702
779,12,63635712
780,13,63635703
781,14,63635706
782,16,63635710
783,18,63635706
784,1,80356299
785,2,80356303
786,6,80356303
787,11,80356294
788,12,80356304
789,13,80356296
790,14,80356299
791,16,80356302
792,18,80356298
793,1,97077562
794,2,97077566
795,6,97077566
796,11,97077557
797,12,97077567
798,13,97077559
799,14,97077562
800,16,97077565
801,18,97077561
802,1,13798468
803,2,13798471
804,6,13798472
805,11,13798463
806,12,13798473
807,13,13798464
808,14,13798467
809,16,13798471
810,18,13798467
811,1,30519615
812,2,30519618
813,6,30519619
814,11,30519610
815,12,30519620
816,13,30519611
817,14,30519614
818,16,30519618
819,18,30519614
820,1,47239969
821,2,47239972
822,6,47239973
823,11,47239964
824,12,47239974
825,13,47239965
826,14,47239968
827,16,47239972
828,18,47239968
829,1,63960256
830,2,63960259
831,6,63960260
832,11,63960251
833,12,63960261
834,13,63960253
835,14,63960255
836,16,63960259
837,18,63960255
838,1,80681217
839,2,80681220
840,6,80681221
841,11,80681212
842,12,80681222
843,13,80681213
844,14,80681216
845,16,80681220
846,18,80681216
847,1,97402079
848,2,97402082
849,6,97402083
850,11,97402074
851,12,97402084
852,13,97402075
853,14,97402078
854,16,97402082
855,18,97402078
856,1,14122465
857,2,14122468
858,6,14122469
859,11,14122460
860,12,14122469
861,13,14122461
862,14,14122464
863,16,14122467
864,18,14122463
865,1,30843106
866,2,30843110
867,6,30843111
868,11,30843102
869,12,30843111
870,13,30843103
871,14,30843106
872,16,30843109
873,18,30843105
874,1,47563724
875,2,47563727
876,6,47563728
877,11,47563719
878,12,47563729
879,13,47563721
880,14,47563723
881,16,47563727
882,18,47563723
883,1,64284287
884,2,64284290
885,6,64284291
886,11,64284282
887,12,64284292
888,13,64284283
889,14,64284286
890,16,64284290
891,18,64284286
892,1,81004489
893,2,81004492
894,6,81004493
895,11,81004484
896,12,81004494
897,13,81004485
898,14,81004488
899,16,81004492
900,18,81004488
901,1,97725101
902,2,97725105
903,6,97725105
904,11,97725096
905,12,97725106
906,13,97725098
907,14,97725101
908,16,97725104
909,18,97725100
910,1,14445081
911,2,14445084
912,6,14445085
913,11,14445076
914,12,14445086
915,13,14445077
916,14,14445080
917,16,14445084
918,18,14445080
919,1,31165345
920,2,31165349
921,6,31165350
922,11,31165341
923,12,31165350
924,13,31165342
925,14,31165345
926,16,31165348
927,18,31165344
928,1,47885956
929,2,47885960
930,6,47885960
931,11,47885951
932,12,47885961
933,13,47885953
934,14,47885956
935,16,47885959
936,18,47885955
937,1,64606027
938,2,64606031
939,6,64606032
940,11,64606023
941,12,64606032
942,13,64606024
943,14,64606027
944,16,64606030
945,18,64606026
946,1,81327152
947,2,81327155
948,6,81327156
949,11,81327147
950,12,81327157
951,13,81327149
952,14,81327151
953,16,81327155
954,18,81327151
955,1,98047295
956,2,98047298
957,6,98047299
958,11,98047290
959,12,98047300
960,13,98047291
961,14,98047294
962,16,98047298
963,18,98047294
964,1,14768001
965,2,14768005
966,6,14768005
967,11,14767996
968,12,14768006
969,13,14767998
970,14,14768000
971,16,14768004
972,18,14768000
973,1,31488176
974,2,31488179
975,6,31488180
976,11,31488171
977,12,31488181
978,13,31488172
979,14,31488175
980,16,31488179
981,18,31488175
982,1,48208819
983,2,48208822
984,6,48208823
985,11,48208814
986,12,48208824
987,13,48208815
988,14,48208818
989,16,48208822
990,18,48208818
991,1,64929545
992,2,64929548
993,6,64929549
994,11,64929540
995,12,64929550
996,13,64929541
997,14,64929544
998,16,64929548
999,18,64929544
1000,1,81649922
1001,2,81649925
1002,6,81649926
1003,11,81649917
1004,12,81649927
1005,13,81649918
1006,14,81649921
1007,16,81649925
1008,18,81649921
1009,1,98370095
1010,2,98370099
1011,6,98370100
1012,11,98370091
1013,12,98370100
1014,13,98370092
1015,14,98370095
1016,16,98370099
1017,18,98370094
1018,1,15090491
1019,2,15090495
1020,6,15090496
1021,11,15090487
1022,12,15090496
1023,13,15090488
1024,14,15090491
1025,16,15090495
1026,18,15090490
1027,1,31811083
1028,2,31811086
1029,6,31811087
1030,11,31811078
1031,12,31811088
1032,13,31811079
1033,14,31811082
1034,16,31811086
1035,18,31811082
1036,1,48531857
1037,2,48531860
1038,6,48531861
1039,11,48531852
1040,12,48531862
1041,13,48531853
1042,14,48531856
1043,16,48531860
1044,18,48531856
1045,1,65252352
1046,2,65252355
1047,6,65252356
1048,11,65252347
1049,12,65252357
1050,13,65252348
1051,14,65252351
1052,16,65252355
1053,18,65252351
1054,1,81973927
1055,2,81973930
1056,6,81973931
1057,11,81973922
1058,12,81973932
1059,13,81973923
1060,14,81973926
1061,16,81973930
1062,18,81973926
1063,1,98695075
1064,2,98695078
1065,6,98695079
1066,11,98695070
1067,12,98695080
1068,13,98695071
1069,14,98695074
1070,16,98695078
1071,18,98695074
1072,1,15416089
1073,2,15416092
1074,6,15416093
1075,11,15416084
1076,12,15416094
1077,13,15416085
1078,14,15416088
1079,16,15416092
1080,18,15416088
1081,1,32136789
1082,2,32136792
1083,6,32136793
1084,11,32136784
1085,12,32136794
1086,13,32136785
1087,14,32136788
1088,16,32136792
1089,18,32136788
1090,1,48857760
1091,2,48857763
1092,6,48857764
1093,11,48857755
1094,12,48857765
1095,13,48857756
1096,14,48857759
1097,16,48857763
1098,18,48857759
1099,1,65578299
1100,2,65578303
1101,6,65578303
1102,11,65578294
1103,12,65578304
1104,13,65578296
1105,14,65578298
1106,16,65578302
1107,18,65578298
1108,1,82299282
1109,2,82299285
1110,6,82299286
1111,11,82299277
1112,12,82299287
1113,13,82299278
1114,14,82299281
1115,16,82299285
1116,18,82299281
1117,1,99020557
1118,2,99020560
1119,6,99020561
1120,11,99020552
1121,12,99020562
1122,13,99020553
1123,14,99020556
1124,16,99020560
1125,18,99020556
1126,1,15741090
1127,2,15741093
1128,6,15741094
1129,11,15741085
1130,12,15741095
1131,13,15741086
1132,14,15741089
1133,16,15741093
1134,18,15741089
1135,1,32461482
1136,2,32461485
1137,6,32461486
1138,11,32461477
1139,12,32461487
1140,13,32461478
1141,14,32461481
1142,16,32461485
1143,18,32461481
1144,1,49182373
1145,2,49182377
1146,6,49182377
1147,11,49182368
1148,12,49182378
1149,13,49182370
1150,14,49182373
1151,16,49182376
1152,18,49182372
1153,1,65902101
1154,2,65902104
1155,6,65902105
1156,11,65902096
1157,12,65902106
1158,13,65902097
1159,14,65902100
1160,16,65902104
1161,18,65902100
1162,1,82622006
1163,2,82622009
1164,6,82622010
1165,11,82622001
1166,12,82622011
1167,13,82622002
1168,14,82622005
1169,16,82622009
1170,18,82622005
1171,1,99342525
1172,2,99342529
1173,6,99342529
1174,11,99342520
1175,12,99342530
1176,13,99342522
1177,14,99342525
1178,16,99342528
1179,18,99342524
1180,1,16063494
1181,2,16063498
1182,6,16063498
1183,11,16063489
1184,12,16063499
1185,13,16063491
1186,14,16063494
1187,16,16063497
1188,18,16063493
1189,1,32784050
1190,2,32784054
1191,6,32784055
1192,11,32784046
1193,12,32784055
1194,13,32784047
1195,14,32784050
1196,16,32784053
1197,18,32784049
1198,1,49504346
1199,2,49504349
1200,6,49504350
1201,11,49504341
1202,12,49504351
1203,13,49504342
1204,14,49504345
1205,16,49504349
1206,18,49504345
1207,1,66225268
1208,2,66225271
1209,6,66225272
1210,11,66225263
1211,12,66225273
1212,13,66225264
1213,14,66225267
1214,16,66225271
1215,18,66225267
1216,1,82945665
1217,2,82945669
1218,6,82945670
1219,11,82945661
1220,12,82945670
1221,13,82945662
1222,14,82945665
1223,16,82945668
1224,18,82945664
1225,1,99666184
1226,2,99666187
1227,6,99666188
1228,11,99666179
1229,12,99666189
1230,13,99666180
1231,14,99666183
1232,16,99666187
1233,18,99666183
1234,1,16386622
1235,2,16386625
1236,6,16386626
1237,11,16386617
1238,12,16386627
1239,13,16386618
1240,14,16386621
1241,16,16386625
1242,18,16386621
1243,1,33106722
1244,2,33106725
1245,6,33106726
1246,11,33106717
1247,12,33106727
1248,13,33106718
1249,14,33106721
1250,16,33106725
1251,18,33106721
1252,1,49826464
1253,2,49826468
1254,6,49826468
1255,11,49826460
1256,12,49826469
1257,13,49826461
1258,14,49826464
1259,16,49826467
1260,18,49826463
1261,1,66546577
1262,2,66546581
1263,6,66546581
1264,11,66546573
1265,12,66546582
1266,13,66546574
1267,14,66546577
1268,16,66546580
1269,18,66546576
1270,1,83266671
1271,2,83266674
1272,6,83266675
1273,11,83266666
1274,12,83266676
1275,13,83266667
1276,14,83266670
1277,16,83266674
1278,18,83266670
1279,1,99987207
1280,2,99987210
1281,6,99987211
1282,11,99987202
1283,12,99987212
1284,13,99987203
1285,14,99987206
1286,16,99987210
1287,18,99987206
1288,1,16707253
1289,2,16707256
1290,6,16707257
1291,11,16707248
1292,12,16707258
1293,13,16707250
1294,14,16707252
1295,16,16707256
1296,18,16707252
1297,1,33427444
1298,2,33427447
1299,6,33427448
1300,11,33427439
1301,12,33427448
1302,13,33427440
1303,14,33427443
1304,16,33427446
1305,18,33427442
1306,1,50147606
1307,2,50147610
1308,6,50147611
1309,11,50147602
1310,12,50147611
1311,13,50147603
1312,14,50147606
1313,16,50147610
1314,18,50147605
1315,1,66867965
1316,2,66867968
1317,6,66867969
1318,11,66867960
1319,12,66867970
1320,13,66867961
1321,14,66867964
1322,16,66867968
1323,18,66867964
1324,1,83588379
1325,2,83588382
1326,6,83588383
1327,11,83588374
1328,12,83588384
1329,13,83588375
1330,14,83588378
1331,16,83588382
1332,18,83588378
1333,1,308549
1334,2,308552
1335,6,308553
1336,11,308544
1337,12,308554
1338,13,308545
1339,14,308548
1340,16,308552
1341,18,308548
1342,1,17029025
1343,2,17029028
1344,6,17029029
1345,11,17029020
1346,12,17029030
1347,13,17029022
1348,14,17029025
1349,16,17029028
1350,18,17029024
1351,1,33749129
1352,2,33749132
1353,6,33749133
1354,11,33749124
1355,12,33749134
1356,13,33749125
1357,14,33749128
1358,16,33749132
1359,18,33749128
1360,1,50469075
1361,2,50469078
1362,6,50469079
1363,11,50469070
1364,12,50469080
1365,13,50469071
1366,14,50469074
1367,16,50469078
1368,18,50469074
1369,1,67189422
1370,2,67189425
1371,6,67189426
1372,11,67189417
1373,12,67189427
1374,13,67189418
1375,14,67189421
1376,16,67189425
1377,18,67189421
1378,1,83910162
1379,2,83910165
1380,6,83910166
1381,11,83910157
1382,12,83910167
1383,13,83910158
1384,14,83910161
1385,16,83910165
1386,18,83910161
1387,1,630871
1388,2,630874
1389,6,630875
1390,11,630866
1391,12,630876
1392,13,630867
1393,14,630870
1394,16,630874
1395,18,630870
1396,1,17351858
1397,2,17351861
1398,6,17351862
1399,11,17351853
1400,12,17351863
1401,13,17351854
1402,14,17351857
1403,16,17351861
1404,18,17351857
1405,1,34072527
1406,2,34072530
1407,6,34072531
1408,11,34072522
1409,12,34072532
1410,13,34072523
1411,14,34072526
1412,16,34072530
1413,18,34072526
1414,1,50793420
1415,2,50793423
1416,6,50793424
1417,11,50793415
1418,12,50793425
1419,13,50793416
1420,14,50793419
1421,16,50793423
1422,18,50793419
1423,1,67514325
1424,2,67514328
1425,6,67514329
1426,11,67514320
1427,12,67514329
1428,13,67514321
1429,14,67514324
1430,16,67514328
1431,18,67514323
1432,1,84235189
1433,2,84235193
1434,6,84235193
1435,11,84235184
1436,12,84235194
1437,13,84235186
1438,14,84235189
1439,16,84235192
1440,18,84235188
1441,1,956198
1442,2,956202
1443,6,956203
1444,11,956194
1445,12,956203
1446,13,956195
1447,14,956198
1448,16,956202
1449,18,956197
1450,1,17677480
1451,2,17677483
1452,6,17677484
1453,11,17677475
1454,12,17677485
1455,13,17677476
1456,14,17677479
1457,16,17677483
1458,18,17677479
1459,1,34398575
1460,2,34398578
1461,6,34398579
1462,11,34398570
1463,12,34398580
1464,13,34398571
1465,14,34398574
1466,16,34398578
1467,18,34398574
1468,1,51119512
1469,2,51119515
1470,6,51119516
1471,11,51119507
1472,12,51119517
1473,13,51119508
1474,14,51119511
1475,16,51119515
1476,18,51119511
1477,1,67840540
1478,2,67840543
1479,6,67840544
1480,11,67840535
1481,12,67840545
1482,13,67840536
1483,14,67840539
1484,16,67840543
1485,18,67840539
1486,1,84560871
1487,2,84560874
1488,6,84560875
1489,11,84560866
1490,12,84560876
1491,13,84560867
1492,14,84560870
1493,16,84560874
1494,18,84560870
1495,1,1281210
1496,2,1281213
1497,6,1281214
1498,11,1281205
1499,12,1281214
1500,13,1281206
1501,14,1281209
1502,16,1281213
1503,18,1281208
1504,1,18002713
1505,2,18002717
1506,6,18002718
1507,11,18002709
1508,12,18002718
1509,13,18002710
1510,14,18002713
1511,16,18002717
1512,18,18002713
1513,1,34723568
1514,2,34723572
1515,6,34723572
1516,11,34723563
1517,12,34723573
1518,13,34723565
1519,14,34723568
1520,16,34723571
1521,18,34723567
1522,1,51444103
1523,2,51444106
1524,6,51444107
1525,11,51444098
1526,12,51444107
1527,13,51444099
1528,14,51444102
1529,16,51444106
1530,18,51444102
1531,1,68165038
1532,2,68165042
1533,6,68165042
1534,11,68165033
1535,12,68165043
1536,13,68165034
1537,14,68165037
1538,16,68165041
1539,18,68165037
1540,1,84885941
1541,2,84885944
1542,6,84885945
1543,11,84885936
1544,12,84885945
1545,13,84885937
1546,14,84885940
1547,16,84885944
1548,18,84885940
1549,1,1606697
1550,2,1606700
1551,6,1606701
1552,11,1606692
1553,12,1606702
1554,13,1606693
1555,14,1606696
1556,16,1606700
1557,18,1606696
1558,1,18326872
1559,2,18326876
1560,6,18326876
1561,11,18326867
1562,12,18326877
1563,13,18326869
1564,14,18326872
1565,16,18326875
1566,18,18326871
1567,1,35047437
1568,2,35047440
1569,6,35047441
1570,11,35047432
1571,12,35047442
1572,13,35047433
1573,14,35047436
1574,16,35047440
1575,18,35047436
1576,1,51768042
1577,2,51768045
1578,6,51768046
1579,11,51768037
1580,12,51768046
1581,13,51768038
1582,14,51768041
1583,16,51768045
1584,18,51768041
1585,1,68488347
1586,2,68488350
1587,6,68488351
1588,11,68488342
1589,12,68488352
1590,13,68488343
1591,14,68488346
1592,16,68488350
1593,18,68488346
1594,1,85208901
1595,2,85208904
1596,6,85208905
1597,11,85208896
1598,12,85208905
1599,13,85208897
