,DOM,TSCounter,time
294,13.0,1620656664.4,42985801.0
295,14.0,1620656664.4,42985791.0
296,16.0,1620656664.4,42985795.0
297,18.0,1620656664.4,42985791.0
298,1.0,1620656665.4,59706512.0
299,2.0,1620656665.4,59706515.0
300,6.0,1620656665.4,59706516.0
301,11.0,1620656665.4,59706514.0
302,12.0,1620656665.4,59706511.0
303,13.0,1620656665.4,59706515.0
304,14.0,1620656665.4,59706505.0
305,16.0,1620656665.4,59706509.0
306,18.0,1620656665.4,59706505.0
307,1.0,1620656666.4,76426881.0
308,2.0,1620656666.4,76426885.0
309,6.0,1620656666.4,76426886.0
310,11.0,1620656666.4,76426883.0
311,12.0,1620656666.4,76426880.0
312,13.0,1620656666.4,76426884.0
313,14.0,1620656666.4,76426875.0
314,16.0,1620656666.4,76426878.0
315,18.0,1620656666.4,76426874.0
316,1.0,1620656667.4,93147878.0
317,2.0,1620656667.4,93147881.0
318,6.0,1620656667.4,93147882.0
319,11.0,1620656667.4,93147880.0
320,12.0,1620656667.4,93147877.0
321,13.0,1620656667.4,93147881.0
322,14.0,1620656667.4,93147871.0
323,16.0,1620656667.4,93147875.0
324,18.0,1620656667.4,93147871.0
325,1.0,1620656668.5,9868127.0
326,2.0,1620656668.5,9868130.0
327,6.0,1620656668.5,9868131.0
328,11.0,1620656668.5,9868128.0
329,12.0,1620656668.5,9868126.0
330,13.0,1620656668.5,9868129.0
331,14.0,1620656668.5,9868120.0
332,16.0,1620656668.5,9868124.0
333,18.0,1620656668.5,9868120.0
334,1.0,1620656669.5,26588166.0
335,2.0,1620656669.5,26588169.0
336,6.0,1620656669.5,26588170.0
337,11.0,1620656669.5,26588168.0
338,12.0,1620656669.5,26588165.0
339,13.0,1620656669.5,26588169.0
340,14.0,1620656669.5,26588159.0
341,16.0,1620656669.5,26588163.0
342,18.0,1620656669.5,26588159.0
343,1.0,1620656670.5,43308702.0
344,2.0,1620656670.5,43308706.0
345,6.0,1620656670.5,43308707.0
346,11.0,1620656670.5,43308704.0
347,12.0,1620656670.5,43308701.0
348,13.0,1620656670.5,43308705.0
349,14.0,1620656670.5,43308696.0
350,16.0,1620656670.5,43308699.0
351,18.0,1620656670.5,43308695.0
352,1.0,1620656671.5,60029091.0
353,2.0,1620656671.5,60029094.0
354,6.0,1620656671.5,60029095.0
355,11.0,1620656671.5,60029093.0
356,12.0,1620656671.5,60029090.0
357,13.0,1620656671.5,60029094.0
358,14.0,1620656671.5,60029084.0
359,16.0,1620656671.5,60029088.0
360,18.0,1620656671.5,60029084.0
361,1.0,1620656672.5,76749600.0
362,2.0,1620656672.5,76749603.0
363,6.0,1620656672.5,76749604.0
364,11.0,1620656672.5,76749601.0
365,12.0,1620656672.5,76749599.0
366,13.0,1620656672.5,76749602.0
367,14.0,1620656672.5,76749593.0
368,16.0,1620656672.5,76749597.0
369,18.0,1620656672.5,76749593.0
370,1.0,1620656673.5,93470344.0
371,2.0,1620656673.5,93470347.0
372,6.0,1620656673.5,93470348.0
373,11.0,1620656673.5,93470346.0
374,12.0,1620656673.5,93470343.0
375,13.0,1620656673.5,93470347.0
376,14.0,1620656673.5,93470337.0
377,16.0,1620656673.5,93470341.0
378,18.0,1620656673.5,93470337.0
379,1.0,1620656674.6,10190879.0
380,2.0,1620656674.6,10190882.0
381,6.0,1620656674.6,10190883.0
382,11.0,1620656674.6,10190880.0
383,12.0,1620656674.6,10190877.0
384,13.0,1620656674.6,10190881.0
385,14.0,1620656674.6,10190872.0
386,16.0,1620656674.6,10190875.0
387,18.0,1620656674.6,10190871.0
388,1.0,1620656675.6,26911337.0
389,2.0,1620656675.6,26911340.0
390,6.0,1620656675.6,26911341.0
391,11.0,1620656675.6,26911339.0
392,12.0,1620656675.6,26911336.0
393,13.0,1620656675.6,26911340.0
394,14.0,1620656675.6,26911330.0
395,16.0,1620656675.6,26911334.0
396,18.0,1620656675.6,26911330.0
397,1.0,1620656676.6,43631427.0
398,2.0,1620656676.6,43631430.0
399,6.0,1620656676.6,43631431.0
400,11.0,1620656676.6,43631429.0
401,12.0,1620656676.6,43631426.0
402,13.0,1620656676.6,43631430.0
403,14.0,1620656676.6,43631420.0
404,16.0,1620656676.6,43631424.0
405,18.0,1620656676.6,43631420.0
406,1.0,1620656677.6,60351650.0
407,2.0,1620656677.6,60351653.0
408,6.0,1620656677.6,60351654.0
409,11.0,1620656677.6,60351652.0
410,12.0,1620656677.6,60351649.0
411,13.0,1620656677.6,60351653.0
412,14.0,1620656677.6,60351643.0
413,16.0,1620656677.6,60351647.0
414,18.0,1620656677.6,60351643.0
